1,Адыгея Респ,Алтай Респ,Алтайский край,Амурская обл,Архангельская обл,Астраханская обл,Башкортостан Респ,Белгородская обл,Брянская обл,Бурятия Респ,Владимирская обл,Волгоградская обл,Вологодская обл,Воронежская обл,Дагестан Респ,Еврейская Аобл,Забайкальский край,Ивановская обл,Ингушетия Респ,Иркутская обл,Кабардино-Балкарская Респ,Калининградская обл,Калмыкия Респ,Калужская обл,Камчатский край,Карачаево-Черкесская Респ,Карелия Респ,Кемеровская обл,Кировская обл,Коми Респ,КострОмская облая обл,Краснодарский край,Красноярский край,Курганская обл,Курская облая обл,Ленинградская обл,Липецкая обл,Магаданская обл,Марий Эл Респ,Мордовия Респ,Московская обл,Мурманская обл,Ненецкий АО,Нижегородская обл,Новгородская обл,Новосибирская обл,Омская обл,Оренбургская обл,Орловская обл,Пензенская обл,Пермский край,Приморский край,Псковская обл,Ростовская обл,Рязанская обл,Самарская обл,Саратовская обл,Саха /Якутия/ Респ,Сахалинская обл,Свердловская обл,Северная Осетия - Алания Респ,Смоленская обл,Ставропольский край,Тамбовская обл,Татарстан Респ,Тверская обл,Томская обл,Тульская обл,Тыва Респ,Тюменская обл,Удмуртская Респ,Ульяновская обл,Хабаровский край,Хакасия Респ,Ханты-Мансийский Автономный округ - Югра АО,Челябинская обл,Чеченская Респ,Чувашская Респ,Чукотский АО,Ямало-Ненецкий АО,Ярославская обл
Калининградская обл,3,3,3,5,3,3,3,2,2,4,2,3,2,2,3,5,4,2,3,4,3,1,3,2,5,3,3,3,3,3,2,3,4,3,2,2,2,5,3,2,2,3,3,2,3,3,3,3,2,2,3,5,2,3,2,3,2,5,5,3,3,1,3,2,3,2,3,2,4,3,3,3,5,4,3,3,3,3,5,4,2
Калмыкия Респ,2,3,3,5,3,2,3,2,2,4,2,2,3,2,2,5,4,3,1,4,1,3,1,2,5,1,3,3,3,3,3,1,4,3,2,3,2,5,3,2,2,3,3,3,3,3,3,3,2,2,3,5,3,2,2,2,2,5,5,3,1,3,1,2,3,3,3,2,4,3,3,2,5,4,3,3,2,3,5,4,3
Калужская обл,2,3,3,5,2,2,2,2,1,4,1,2,2,2,3,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,1,2,2,4,5,2,2,1,2,2,2,1,3,1,3,3,2,2,5,3,3,3,3,2,5,3,1
Камчатский край,5,4,4,3,5,5,5,5,5,3,5,5,5,5,5,3,3,5,5,4,5,5,5,5,1,5,5,4,5,5,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,5,5,3,1,5,5,5,5,5,5,5,4,5,4,4,5,5,3,4,5,5,5,5,3,5,5
Карачаево-Черкесская Респ,1,3,3,5,3,2,3,2,2,4,2,2,3,2,2,5,4,2,1,4,1,3,1,2,5,1,3,3,3,3,2,1,3,3,2,3,2,5,2,2,2,3,3,2,3,3,3,3,2,2,3,5,3,1,2,2,2,5,5,3,1,2,1,2,2,2,3,2,4,3,3,2,5,3,3,3,1,3,5,4,2
Карелия Респ,3,3,3,5,2,3,3,3,2,4,2,3,2,2,3,5,4,2,3,4,3,3,3,2,5,3,1,3,2,2,2,3,3,3,2,1,2,5,2,2,2,2,2,2,1,3,3,3,2,2,2,5,2,3,2,3,3,5,5,3,3,2,3,2,2,2,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2
Кемеровская обл,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,1,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,1,2,3,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,1,3,2,2,3,3,4,2,3,2,3,3,4,3,3
Кировская обл,3,3,3,4,2,2,2,2,2,3,2,2,2,2,3,4,4,2,3,3,3,3,3,2,5,3,2,3,1,2,1,3,3,2,2,2,2,5,2,2,2,3,2,1,2,3,2,2,2,2,1,5,2,3,2,2,2,4,5,2,3,2,3,2,2,2,3,2,3,2,1,2,4,3,3,2,3,2,5,3,2
Коми Респ,3,3,3,4,2,3,2,3,2,4,2,3,2,2,3,5,4,2,3,3,3,3,3,2,5,3,2,3,2,1,2,3,3,2,3,2,2,5,2,2,2,2,2,2,2,3,3,3,2,2,2,5,2,3,2,2,2,4,5,2,3,2,3,2,2,2,3,2,3,2,2,2,5,3,3,2,3,2,5,3,2
КострОмская облая обл,2,3,3,4,2,2,2,2,2,4,1,2,1,2,3,4,4,1,3,3,3,2,3,2,5,2,2,3,1,2,1,2,3,2,2,2,2,5,2,2,1,2,2,1,2,3,3,2,2,2,2,5,2,2,1,2,2,4,5,2,3,2,2,2,2,1,3,2,3,2,2,2,5,3,3,2,3,2,5,3,1
Краснодарский край,1,3,3,5,3,2,3,2,2,4,2,2,2,2,2,5,4,2,1,4,1,3,1,2,5,1,3,3,3,3,2,1,3,3,2,3,2,5,2,2,2,3,3,2,3,3,3,2,2,2,3,5,3,1,2,2,2,5,5,3,1,2,1,2,2,2,3,2,4,3,3,2,5,3,3,3,2,2,5,3,2
Красноярский край,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,2,4,4,4,3,4,3,3,2,3,3,3,3,1,2,3,3,3,4,3,3,3,4,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,3,2,2,3,3,3,1,3,3,3,3,4,3,3
Курганская обл,3,2,2,4,3,3,2,3,3,3,2,3,2,3,3,4,3,2,3,3,3,3,3,3,4,3,3,2,2,2,2,3,2,1,3,3,3,4,2,2,3,3,3,2,3,2,1,2,3,2,2,4,3,3,3,2,2,4,4,1,3,3,3,2,2,3,2,3,3,1,2,2,4,2,2,1,3,2,5,3,2
Курская облая обл,2,3,3,5,2,2,2,1,1,4,2,2,2,1,2,5,4,2,2,4,2,2,2,1,5,2,2,3,2,3,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,2,2,2,5,5,3,2,1,2,1,2,2,3,1,3,3,2,2,5,3,3,3,2,2,5,3,2
Ленинградская обл,3,3,3,5,2,3,3,2,2,4,2,3,1,2,3,5,4,2,3,4,3,3,3,2,5,3,1,3,2,2,2,3,3,3,2,1,2,5,2,2,2,2,2,2,1,3,3,3,2,2,2,5,1,3,2,2,2,5,5,3,3,2,3,2,2,1,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2
Липецкая обл,2,3,3,4,2,2,2,1,1,4,1,2,2,1,2,5,4,2,2,4,2,2,2,1,5,2,2,3,2,2,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,1,2,5,2,2,1,2,1,4,5,2,2,2,2,1,2,2,3,1,3,3,2,2,5,3,3,2,2,2,5,3,2
Магаданская обл,5,4,4,3,5,5,5,5,5,3,5,5,5,5,5,2,3,5,5,3,5,5,5,5,3,5,5,4,5,5,5,5,4,4,5,5,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,5,4,4,5,5,1,4,5,5,5,5,1,5,5
Марий Эл Респ,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,4,4,2,3,3,3,3,3,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,2,2,2,2,2,5,2,2,2,1,2,4,5,2,3,2,2,2,1,2,3,2,3,2,1,1,4,3,3,2,2,1,5,3,2
Мордовия Респ,2,3,3,4,2,2,2,2,2,4,1,2,2,2,2,4,4,1,2,3,2,2,2,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,3,2,2,1,2,5,2,2,1,1,1,4,5,2,2,2,2,1,1,2,3,2,3,2,2,1,4,3,3,2,2,1,5,3,2
Московская обл,2,3,3,4,2,2,2,2,1,4,1,2,1,2,3,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,1,2,3,3,1,2,1,5,2,2,1,2,2,1,2,3,3,2,1,2,2,5,2,2,1,2,2,4,5,2,2,1,2,1,2,1,3,1,3,3,2,2,5,3,3,2,3,2,5,3,1
Мурманская обл,3,3,3,5,2,3,3,3,3,4,3,3,2,3,3,5,4,2,3,4,3,3,3,3,5,3,2,3,3,2,2,3,4,3,3,2,3,5,3,3,2,1,2,3,2,3,3,3,3,3,3,5,2,3,3,3,3,5,5,3,3,3,3,3,3,2,3,3,4,3,3,3,5,4,3,3,3,3,5,4,2
Ненецкий АО,3,3,3,5,1,3,3,2,2,4,2,3,2,2,3,5,4,2,3,4,3,3,3,2,5,3,2,3,2,2,2,3,3,3,2,2,2,5,2,2,2,2,1,2,2,3,3,3,2,2,2,5,2,3,2,3,2,5,5,3,3,2,3,2,2,2,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2
Нижегородская обл,2,3,3,4,2,2,2,2,2,4,1,2,2,2,3,4,4,1,3,3,3,2,3,2,5,2,2,3,1,2,1,2,3,2,2,2,2,5,1,1,1,3,2,1,2,3,3,2,2,1,2,5,2,2,1,2,2,4,5,2,3,2,2,2,1,2,3,2,3,2,2,2,5,3,3,2,3,1,5,3,1
Новгородская обл,3,3,3,5,2,3,3,2,2,4,2,3,2,2,3,5,4,2,3,4,3,3,3,2,5,3,1,3,2,2,2,3,3,3,2,1,2,5,2,2,2,2,2,2,1,3,3,3,2,2,2,5,1,3,2,3,2,5,5,3,3,2,3,2,2,1,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2
Новосибирская обл,3,1,1,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,1,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,1,2,3,3,3,2,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,1,3,2,2,3,3,4,2,3,2,3,3,4,3,3
Омская обл,3,2,2,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,2,1,3,3,3,4,2,3,3,3,3,3,3,2,1,2,3,3,2,4,3,3,3,2,3,4,4,2,3,3,3,3,2,3,2,3,2,1,2,2,4,2,2,2,3,2,4,3,3
Оренбургская обл,3,3,3,4,3,2,1,2,2,3,2,2,2,2,2,4,4,2,3,3,3,3,3,2,5,3,3,3,2,3,2,2,3,2,2,3,2,5,2,2,2,3,3,2,3,3,2,1,2,2,2,5,3,2,2,1,2,4,5,2,3,2,2,2,2,2,3,2,3,2,2,2,4,3,3,2,2,2,5,3,2
Орловская обл,2,3,3,5,2,2,2,1,1,4,1,2,2,1,2,5,4,2,2,4,2,2,2,1,5,2,2,3,2,2,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,1,2,2,5,5,3,2,1,2,1,2,1,3,1,3,3,2,2,5,3,3,3,2,2,5,3,2
Пензенская обл,2,3,3,4,2,2,2,2,2,4,2,2,2,2,2,4,4,2,2,3,2,2,2,2,5,2,2,3,2,2,2,2,3,2,2,2,1,5,2,1,2,3,2,1,2,3,3,2,2,1,2,5,2,2,1,1,1,4,5,2,2,2,2,1,1,2,3,2,3,2,2,1,5,3,3,2,2,1,5,3,2
Пермский край,3,3,3,4,2,3,2,3,2,3,2,2,2,2,3,4,3,2,3,3,3,3,3,2,5,3,2,3,1,2,2,3,3,2,2,2,2,5,2,2,2,3,2,2,2,2,2,2,2,2,1,4,2,3,2,2,2,4,4,1,3,2,3,2,2,2,3,2,3,2,1,2,4,3,2,2,3,2,5,3,2
Приморский край,5,4,4,2,5,5,4,5,5,3,5,5,5,5,5,2,3,5,5,3,5,5,5,5,3,5,5,4,5,5,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,4,1,5,5,5,5,5,3,2,4,5,5,5,5,5,5,4,5,4,4,5,5,2,4,5,4,5,5,3,5,5
Псковская обл,3,3,3,5,2,3,3,2,2,4,2,2,2,2,3,5,4,2,3,4,3,2,3,2,5,3,2,3,2,2,2,3,3,3,2,1,2,5,2,2,2,2,2,2,1,3,3,3,2,2,2,5,1,3,2,2,2,5,5,3,3,2,3,2,2,1,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2
Ростовская обл,1,3,3,5,3,2,2,2,2,4,2,1,2,2,2,5,4,2,2,4,2,3,2,2,5,1,3,3,3,3,2,1,3,3,2,2,2,5,2,2,2,3,3,2,3,3,3,2,2,2,3,5,3,1,2,2,2,5,5,3,2,2,1,2,2,2,3,2,4,3,2,2,5,3,3,3,2,2,5,3,2
Рязанская обл,2,3,3,4,2,2,2,2,1,4,1,2,2,1,2,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,1,2,3,3,2,2,1,5,2,1,1,3,2,1,2,3,3,2,1,1,2,5,2,2,1,2,2,4,5,2,2,2,2,1,2,1,3,1,3,3,2,2,5,3,3,2,2,2,5,3,1
Самарская обл,2,3,3,4,3,2,1,2,2,3,2,2,2,2,2,4,4,2,2,3,2,3,2,2,5,2,3,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,3,2,3,3,2,1,2,1,2,5,2,2,2,1,1,4,5,2,2,2,2,2,1,2,3,2,3,2,2,1,4,3,3,2,2,2,5,3,2
Саратовская обл,2,3,3,4,2,2,2,2,2,4,2,1,2,2,2,4,4,2,2,3,2,2,2,2,5,2,3,3,2,2,2,2,3,2,2,2,1,5,2,1,2,3,2,2,2,3,3,2,2,1,2,5,2,2,2,1,1,4,5,2,2,2,2,1,2,2,3,2,3,2,2,1,5,3,3,2,2,2,5,3,2
Саха /Якутия/ Респ,5,3,3,2,5,5,4,5,5,3,4,4,4,4,5,3,3,4,5,3,5,5,5,4,3,5,5,3,4,4,4,5,3,4,5,5,4,3,4,4,4,5,5,4,5,3,4,4,5,4,4,3,5,5,4,4,4,1,3,4,5,5,5,4,4,5,3,4,3,4,4,4,3,3,4,4,5,4,3,4,4
Сахалинская обл,5,4,4,2,5,5,4,5,5,3,5,5,5,5,5,2,3,5,5,3,5,5,5,5,1,5,5,4,5,5,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,4,2,5,5,5,5,5,3,1,4,5,5,5,5,5,5,4,5,4,4,4,5,2,4,4,4,5,5,3,5,5
Свердловская обл,3,2,2,4,3,3,2,3,3,3,2,2,2,3,3,4,3,2,3,3,3,3,3,2,5,3,3,2,2,2,2,3,3,1,3,3,2,5,2,2,2,3,3,2,3,2,2,2,3,2,1,4,3,3,2,2,2,4,4,1,3,3,3,2,2,2,2,2,3,1,2,2,4,3,2,1,3,2,5,3,2
Северная Осетия - Алания Респ,1,3,3,5,3,2,3,2,2,4,2,2,3,2,3,5,4,3,1,4,1,3,1,2,5,1,3,3,3,3,3,1,4,3,2,3,2,5,3,2,2,3,3,3,3,3,3,3,2,2,3,5,3,2,2,2,2,5,5,3,1,3,1,2,3,3,3,2,4,3,3,2,5,4,3,3,1,3,5,4,3
Смоленская обл,2,3,3,5,2,2,2,2,1,4,2,2,2,2,3,5,4,2,3,4,3,1,3,1,5,2,2,3,2,2,2,2,3,3,1,2,2,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,2,2,2,5,5,3,3,1,2,2,2,1,3,1,3,3,2,2,5,3,3,3,3,2,5,3,2
Ставропольский край,1,3,3,5,3,2,3,2,2,4,2,2,3,2,2,5,4,2,1,4,1,3,1,2,5,1,3,3,3,3,2,1,3,3,2,3,2,5,2,2,2,3,3,2,3,3,3,2,2,2,3,5,3,1,2,2,2,5,5,3,1,2,1,2,2,2,3,2,4,3,3,2,5,3,3,3,2,3,5,4,2
Тамбовская обл,2,3,3,4,2,2,2,2,1,4,1,2,2,1,2,5,4,2,2,4,2,2,2,2,5,2,2,3,2,2,2,2,3,2,1,2,1,5,2,1,1,3,2,2,2,3,3,2,1,1,2,5,2,2,1,2,1,4,5,2,2,2,2,1,2,2,3,1,3,3,2,2,5,3,3,2,2,2,5,3,2
Татарстан Респ,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,4,4,2,3,3,3,3,3,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,2,2,2,1,2,5,2,2,2,1,2,4,5,2,3,2,2,2,1,2,3,2,3,2,1,1,4,3,3,2,2,1,5,3,2
Тверская обл,2,3,3,5,2,2,2,2,1,4,1,2,2,2,3,5,4,1,3,4,3,2,3,1,5,2,2,3,2,2,1,2,3,3,2,1,2,5,2,2,1,2,2,2,1,3,3,2,1,2,2,5,1,2,1,2,2,5,5,2,3,1,2,2,2,1,3,1,3,3,2,2,5,3,3,3,3,2,5,3,1
Томская обл,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,1,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,1,2,3,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,1,3,2,2,3,3,4,2,3,2,3,3,4,3,3
Тульская обл,2,3,3,5,2,2,2,1,1,4,1,2,2,1,2,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,1,2,2,4,5,2,2,1,2,1,2,1,3,1,3,3,2,2,5,3,3,3,2,2,5,3,1
Тыва Респ,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,2,4,4,4,3,4,4,3,2,3,3,3,4,2,3,3,3,3,4,3,3,3,4,3,3,3,2,2,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,4,3,3,3,2,3,1,3,3,3,3,1,3,3,4,3,4,3,3
Тюменская обл,3,2,2,4,3,3,2,3,3,3,2,3,2,3,3,4,3,2,3,3,3,3,3,3,4,3,3,2,2,2,2,3,2,1,3,3,3,4,2,2,3,3,3,2,3,2,1,2,3,2,2,4,3,3,3,2,2,4,4,1,3,3,3,3,2,3,2,3,3,1,2,2,4,3,1,1,3,2,5,1,2
Удмуртская Респ,3,3,3,4,2,2,2,2,2,3,2,2,2,2,3,4,3,2,3,3,3,3,3,2,5,3,2,3,1,2,2,3,3,2,2,2,2,5,1,2,2,3,2,2,2,3,2,2,2,2,1,5,2,2,2,2,2,4,4,2,3,2,3,2,1,2,3,2,3,2,1,1,4,3,2,2,3,1,5,3,2
Ульяновская обл,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,4,4,2,2,3,2,3,2,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,2,2,3,2,2,2,1,2,5,2,2,2,1,1,4,5,2,2,2,2,2,1,2,3,2,3,2,1,1,4,3,3,2,2,1,5,3,2
Хабаровский край,5,4,4,2,5,5,4,5,5,3,5,5,5,5,5,1,3,5,5,3,5,5,5,5,3,5,5,4,4,5,5,5,3,4,5,5,5,1,4,4,5,5,5,5,5,4,4,4,5,5,4,2,5,5,5,4,5,3,2,4,5,5,5,5,4,5,4,5,3,4,4,4,1,3,4,4,5,4,1,5,5
