CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER.0
0000000631;0000000629;VILLAGE;Батальное село;;Батальне село;;98216;;;
0000000632;0000000629;VILLAGE;Белинское село;;Бєлінське село;;98224;;;
0000000633;0000000629;VILLAGE;Бондаренково село;;Бондаренкове село;;98221;;;
0000000634;0000000629;VILLAGE;Виноградное село;;Виноградне село;;98231;;;
0000000635;0000000629;VILLAGE;Войково село;;Войкове село;;98221;;;
0000000636;0000000629;VILLAGE;Глазовка село;;Глазівка село;;98220;;;
0000000637;0000000629;VILLAGE;Горностаевка село;;Горностаївка село;;98241;;;
0000000638;0000000629;VILLAGE;Заветное село;;Завітне село;;98245;;;
0000000639;0000000629;VILLAGE;Заводское село;;Заводське село;;98204;;;
0000000640;0000000629;VILLAGE;Ильичово село;;Іллічеве село;;98200;;;
0000000641;0000000629;VILLAGE;Каменское село;;Кам'янське село;;98215;;;
0000000642;0000000629;VILLAGE;Кирово село;;Кірове село;;98234;;;
0000000643;0000000629;VILLAGE;Красногорка село;;Красногірка село;;98234;;;
0000000644;0000000629;VILLAGE;Ленино пгт;;Леніне смт;;98200;;;
0000000645;0000000629;VILLAGE;Либкнехтовка село;;Лібкнехтівка село;;98225;;;
0000000646;0000000629;VILLAGE;Луговое село;;Лугове село;;98206;;;
0000000647;0000000629;VILLAGE;Марьевка село;;Мар'ївка село;;98221;;;
0000000648;0000000629;VILLAGE;Марфовка село;;Марфівка село;;98244;;;
0000000649;0000000629;VILLAGE;Мысовое село;;Мисове село;;98213;;;
0000000650;0000000629;VILLAGE;Новоотрадное село;;Нововідрадне село;;98224;;;
0000000651;0000000629;VILLAGE;Останино село;;Останіне село;;98230;;;
0000000652;0000000629;VILLAGE;Семисотка село;;Семисотка село;;98214;;;
0000000653;0000000629;VILLAGE;Уварово село;;Уварове село;;98207;;;
0000000654;0000000629;VILLAGE;Челядиново село;;Челядінове село;;98243;;;
0000000655;0000000629;VILLAGE;Чистополье село;;Чистопілля село;;98225;;;
0000000656;0000000629;CITY;Щелкино;;Щолкіне;;98213;;;
0000000657;0000000366;SUBREGION;Нижнегорский район;;Нижньогірський район;;;;;
0000000658;0000000657;VILLAGE;Великоселье село;;Великосілля село;;97113;;;
0000000659;0000000657;VILLAGE;Двуречье село;;Дворіччя село;;97124;;;
0000000660;0000000657;VILLAGE;Дрофино село;;Дрофине село;;97153;;;
0000000661;0000000657;VILLAGE;Желябовка село;;Желябовка село;;97140;;;
0000000662;0000000657;VILLAGE;Жемчужина село;;Жемчужина село;;97154;;;
0000000663;0000000657;VILLAGE;Зоркино село;;Зоркіне село;;97114;;;
0000000664;0000000657;VILLAGE;Косточковка село;;Кісточківка село;;97150;;;
0000000665;0000000657;VILLAGE;Коренное село;;Корінне село;;97132;;;
0000000666;0000000657;VILLAGE;Лиственное село;;Листвинне село;;97124;;;
0000000667;0000000657;VILLAGE;Линейное село;;Лінійне село;;97106;;;
0000000668;0000000657;VILLAGE;Ломоносово село;;Ломоносове село;;97141;;;
0000000669;0000000657;VILLAGE;Любимовка село;;Любимівка село;;97111;;;
0000000670;0000000657;VILLAGE;Митрофановка село;;Митрофанівка село;;97133;;;
0000000671;0000000657;VILLAGE;Михайловка село;;Михайлівка село;;97115;;;
0000000672;0000000657;VILLAGE;Нижнегорский пгт;;Нижньогірський смт;;97100;;;
0000000673;0000000657;VILLAGE;Новогригоровка село;;Новогригорівка село;;97130;;;
0000000674;0000000657;VILLAGE;Пени село;;Піни село;;97154;;;
0000000675;0000000657;VILLAGE;Приречное село;;Прирічне село;;97154;;;
0000000676;0000000657;VILLAGE;Омельяновка село;;Омелянівка село;;97121;;;
0000000677;0000000657;VILLAGE;Охотское село;;Охотське село;;97123;;;
0000000678;0000000657;VILLAGE;Пшеничное село;;Пшеничне село;;97110;;;
0000000679;0000000657;VILLAGE;Садовое село;;Садове село;;97152;;;
0000000680;0000000657;VILLAGE;Семенное село;;Сім'яне село;;97136;;;
0000000681;0000000657;VILLAGE;Тамбовка село;;Тамбовка село;;97142;;;
0000000682;0000000657;VILLAGE;Уваровка село;;Уварівка село;;97136;;;
0000000683;0000000657;VILLAGE;Уютное село;;Уютне село;;97115;;;
0000000684;0000000657;VILLAGE;Фрунзе село;;Фрунзе село;;97150;;;
0000000685;0000000657;VILLAGE;Червоное село;;Червоне село;;97135;;;
0000000686;0000000657;VILLAGE;Чкалово село;;Чкалове село;;97112;;;
0000000687;0000000657;VILLAGE;Якимовка село;;Якимівка село;;97122;;;
0000000688;0000000366;SUBREGION;Первомайский район;;Первомайський район;;;;;
0000000689;0000000688;VILLAGE;Абрикосово село;;Абрикосове село;;96316;;;
0000000690;0000000688;VILLAGE;Гвардейское село;;Гвардійське село;;96340;;;
0000000691;0000000688;VILLAGE;Гришино село;;Гришине село;;96324;;;
0000000692;0000000688;VILLAGE;Каштановка село;;Каштанівка село;;96345;;;
0000000693;0000000688;VILLAGE;Кормовое село;;Кормове село;;96331;;;
0000000694;0000000688;VILLAGE;Крестьяновка село;;Крестянівка село;;96312;;;
0000000695;0000000688;VILLAGE;Крыловка село;;Криловка село;;96321;;;
0000000696;0000000688;VILLAGE;Матвеевка село;;Матвіївка село;;96311;;;
0000000697;0000000688;VILLAGE;Новая Деревня село;;Нова Деревня село;;96313;;;
0000000698;0000000688;VILLAGE;Алексеевка село;;Олексіївка село;;96330;;;
0000000699;0000000688;VILLAGE;Оленовка село;;Оленівка село;;96342;;;
0000000700;0000000688;VILLAGE;Островское село;;Островське село;;96315;;;
0000000701;0000000688;VILLAGE;Правда село;;Правда село;;96310;;;
0000000702;0000000688;CITY;;;Сари Баш;;;;;
0000000703;0000000688;VILLAGE;Стахановка село;;Стахановка село;;96346;;;
0000000704;0000000688;VILLAGE;Степное село;;Степне село;;96320;;;
0000000705;0000000688;VILLAGE;Сусанино село;;Сусаніне село;;96332;;;
0000000706;0000000688;VILLAGE;Черново село;;Чернове село;;96344;;;
0000000707;0000000688;CITY;;;Бандурка;;;;;
0000000924;0000000365;REGION;Николаевская область;;Миколаївська область;20543;;;;
0001095348;0000000924;SUBREGION;Первомайский район;;Первомайський район;;;;;
0000000708;0001095348;VILLAGE;Болеславчик село;;Болеславчик село;;55220;;;
