,Абакан,Анадырь,Архангельск,Астрахань,Барнаул,Белгород,Биробиджан,Благовещенск,Брянск,Великий Новгород,Владивосток,Владикавказ,Владимир,Волгоград,Вологда,Воронеж,Горно-Алтайск,Грозный,Дудинка,Екатеринбург,Иваново,Ижевск,Иркутск,Йошкар-Ола,Казань,Калининград,Калуга,Кемерово,Киров,Кострома,Краснодар,Красноярск,Курган,Курск,Кызыл,Липецк,Магадан,Майкоп,Махачкала,Москва,Мурманск,Назрань,Нальчик,Нарьян-Мар,Нижний Новгород,Новосибирск,Омск,Орел,Оренбург,Пенза,Пермь,Петрозаводск,Петропавловск-Камчатский,Псков,Ростов-на-Дону,Рязань,Санкт-Петербург,Салехард,Самара,Саранск,Саратов,Смоленск,Ставрополь,Сыктывкар,Тамбов,Тверь,Томск,Тула,Тюмень,Улан-Удэ,Ульяновск,Уфа,Хабаровск,Ханты-Мансийск,Чебоксары,Челябинск,Черкесск,Чита,Элиста,Южно-Сахалинск,Якутск,Ярославль
Грозный,7,9,7,7,7,10,9,10,7,8,8,6,7,8,6,6,8,0,9,8,6,8,7,9,7,8,6,7,7,7,6,7,9,7,9,7,8,8,6,6,7,6,4,7,7,6,7,7,8,9,7,9,8,8,5,7,6,6,8,7,9,8,7,8,8,8,7,6,7,7,9,7,8,6,9,8,6,9,8,7,8,6
Дудинка,8,9,8,7,8,7,10,11,7,8,9,6,6,6,6,7,10,9,0,8,6,8,7,8,6,7,6,8,7,7,6,5,8,7,8,8,8,7,6,5,8,9,7,7,7,6,8,8,8,7,8,7,8,8,7,7,6,6,7,7,7,7,6,8,7,6,7,7,6,7,8,7,10,6,8,9,7,8,10,7,8,6
Екатеринбург,7,7,7,7,6,6,7,9,5,6,6,6,4,5,6,5,7,8,6,0,5,5,4,6,4,4,5,6,4,7,6,5,4,6,7,6,8,7,5,4,4,8,6,7,5,4,3,6,5,5,3,6,8,6,6,6,4,5,4,6,4,6,4,7,6,5,5,6,3,6,5,4,6,4,5,3,7,6,8,7,9,5
Иваново,6,7,6,5,5,5,7,7,5,7,6,5,3,4,6,5,7,8,6,6,0,6,5,7,5,6,4,5,6,3,5,5,7,5,7,6,6,6,5,4,6,8,5,6,5,5,5,5,6,6,5,5,6,6,6,5,5,5,5,4,6,5,4,7,6,5,5,5,5,5,6,5,6,4,7,6,6,7,9,5,6,4
Ижевск,7,9,8,7,7,7,9,9,6,8,7,6,5,6,7,6,8,8,8,5,6,0,7,5,4,7,6,7,4,6,6,7,8,7,9,7,8,7,6,5,8,9,6,7,6,6,6,7,7,7,5,7,8,8,7,7,6,6,6,7,7,7,6,8,7,6,7,6,6,7,7,7,8,6,5,6,7,9,10,7,8,6
Иркутск,6,8,6,6,6,5,5,8,5,7,4,5,5,5,5,5,8,7,8,4,5,7,0,6,5,5,5,6,5,5,6,4,7,5,6,6,8,7,5,4,6,7,6,5,5,5,5,5,7,5,5,7,8,7,7,5,5,5,5,6,5,6,5,7,6,4,6,5,6,4,7,6,4,6,7,5,7,4,8,6,8,5
Йошкар-Ола,7,9,8,7,7,7,9,10,6,8,7,6,6,6,7,6,8,9,8,4,6,5,7,0,3,7,6,7,6,6,6,7,7,7,9,7,8,7,6,5,8,9,6,7,7,8,7,7,7,6,7,7,8,8,7,6,7,6,6,6,7,7,6,8,7,6,7,6,6,7,5,7,8,6,5,6,7,9,10,7,8,6
Казань,6,8,7,7,6,6,8,9,5,7,6,5,5,5,6,5,7,8,7,3,5,4,6,3,0,6,5,6,5,5,5,6,6,6,8,6,8,6,5,4,6,8,5,6,6,6,5,6,6,5,5,6,7,7,6,5,5,5,4,4,6,6,5,7,6,5,6,5,5,6,3,6,7,5,4,5,6,8,9,6,7,5
Калининград,6,7,5,6,5,6,7,7,6,5,5,5,5,5,5,5,6,8,7,6,5,7,5,7,5,0,5,5,6,5,4,5,7,6,7,6,7,6,5,4,4,8,6,6,5,5,5,6,6,6,5,6,6,5,6,6,3,4,6,6,6,3,4,7,6,5,5,5,4,5,7,6,6,4,7,7,6,7,8,5,6,5
Калуга,6,7,6,6,5,5,7,7,3,6,6,5,5,5,5,5,6,7,7,6,5,7,5,7,5,5,0,5,5,5,4,5,7,5,7,6,6,5,5,4,6,7,6,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,6,5,5,5,5,6,5,4,5,4,5,5,7,5,6,4,7,6,6,7,8,5,6,4
Кемерово,7,7,6,7,6,5,7,8,5,6,8,4,4,4,5,5,8,7,8,5,4,8,6,9,8,5,4,0,5,5,4,6,6,5,7,6,8,5,4,4,6,7,5,5,5,4,5,5,5,5,6,5,5,6,6,5,5,4,5,5,5,5,4,6,5,4,5,4,6,7,6,7,7,6,7,6,6,7,8,6,6,4
Киров,6,8,7,8,6,6,8,8,5,7,6,5,3,7,6,5,7,8,8,4,5,4,6,5,4,6,5,6,0,6,5,6,6,6,8,6,8,6,5,4,7,8,5,8,3,5,4,6,6,6,4,7,7,7,6,6,5,5,7,7,6,6,5,6,7,5,6,5,4,6,6,5,7,5,6,5,7,8,9,6,7,4
Кострома,5,7,5,5,5,5,7,8,4,6,6,5,4,4,4,4,7,7,7,6,4,7,5,7,5,6,4,5,5,0,5,5,7,5,7,5,6,6,5,4,6,8,5,5,4,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,6,5,4,5,6,5,5,5,6,5,6,5,6,4,7,6,6,7,8,5,6,4
Краснодар,5,7,5,5,5,5,8,7,5,6,5,6,5,6,4,5,8,7,7,6,5,6,7,6,5,6,5,5,5,5,0,5,7,5,7,5,6,3,4,4,5,7,5,5,5,6,5,5,6,6,5,6,6,7,4,5,4,4,5,7,6,6,7,6,6,5,5,5,4,5,6,6,7,4,6,6,6,7,7,5,6,4
Красноярск,4,7,6,5,6,5,6,5,5,6,5,4,5,4,5,5,7,7,6,4,4,6,4,6,5,5,4,5,5,5,4,0,6,5,4,5,7,5,4,4,5,7,5,5,5,4,4,5,5,5,5,5,6,6,5,6,4,4,5,6,5,6,4,6,6,4,4,4,4,4,6,6,6,7,7,6,7,5,8,6,8,5
Курган,8,8,6,8,6,6,8,10,7,7,7,6,6,6,6,6,8,8,10,4,6,7,6,8,6,7,5,7,6,6,6,5,0,6,8,7,9,7,6,4,6,9,6,7,6,4,4,6,7,5,6,6,7,7,6,6,6,6,5,6,5,7,5,7,7,6,6,6,5,7,6,4,7,7,7,4,7,8,9,8,7,6
Курск,6,8,6,8,6,3,9,8,6,7,6,5,5,5,5,6,7,8,7,7,5,7,6,6,5,6,7,6,6,5,6,6,8,0,7,7,8,7,5,4,6,8,6,7,6,5,6,3,6,7,6,6,7,7,7,6,6,6,6,7,6,8,5,7,7,5,6,3,6,6,7,5,7,5,7,7,6,8,9,6,7,5
Кызыл,5,9,7,7,7,7,8,7,7,8,7,6,7,6,7,7,9,9,8,6,6,8,6,8,7,7,6,7,7,7,6,4,8,7,0,7,9,7,6,5,7,8,6,7,7,6,6,7,7,7,7,7,8,8,7,7,6,6,7,8,7,7,6,8,8,6,6,6,6,6,8,8,7,9,8,8,8,7,10,8,10,6
Липецк,6,8,7,8,6,8,9,8,6,7,6,6,6,7,6,3,8,7,7,7,6,8,6,9,8,7,6,6,6,5,6,6,8,6,8,0,7,7,9,5,7,8,5,6,7,5,6,6,8,6,7,7,7,8,4,7,6,5,6,7,7,7,7,7,6,6,6,6,5,6,7,6,7,5,9,7,6,8,7,6,7,6
Магадан,10,11,7,6,8,6,9,10,6,7,8,6,5,5,5,6,9,8,10,8,5,7,8,7,5,6,5,8,6,5,8,8,11,6,10,6,0,9,5,4,7,9,7,7,6,6,8,6,6,6,6,6,11,8,6,6,6,6,6,6,6,6,5,7,7,5,7,5,9,10,7,6,8,10,7,9,8,11,9,9,8,6
Майкоп,6,8,6,6,6,6,9,8,6,7,6,5,6,6,5,6,7,8,7,7,6,7,8,7,6,7,5,6,6,6,3,6,8,6,8,6,7,0,5,5,6,7,6,6,6,7,6,6,7,7,6,7,7,7,5,6,5,5,6,8,7,6,8,7,7,6,6,6,5,6,7,8,8,5,7,7,7,7,7,6,7,5
Махачкала,5,7,5,5,5,5,7,7,5,6,5,4,4,4,4,4,6,6,6,5,5,6,5,6,4,5,4,5,5,4,4,5,7,5,7,5,6,5,0,4,6,6,4,6,5,4,5,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,4,6,7,5,5,5,4,5,6,5,6,4,6,6,5,7,8,5,6,4
Москва,5,6,5,4,4,4,6,5,4,5,5,4,4,4,4,4,6,6,5,5,4,6,4,6,4,5,4,4,4,4,4,4,5,4,6,5,4,5,4,0,5,7,5,5,4,4,4,4,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,6,4,4,4,4,4,4,5,5,5,4,5,5,6,6,7,4,5,4
Мурманск,5,7,4,5,5,7,7,7,6,5,6,4,7,4,7,7,6,7,7,5,7,6,5,6,4,4,6,5,7,6,4,5,7,7,7,7,6,5,4,5,0,8,5,5,7,4,5,7,5,7,5,4,6,5,4,6,3,4,4,7,5,6,4,5,6,5,4,6,5,5,5,4,6,4,6,5,6,7,7,5,6,7
Назрань,7,9,7,7,7,10,9,10,7,8,8,6,7,8,6,6,8,4,9,8,6,8,7,9,7,8,6,7,7,7,6,7,9,7,9,7,8,8,6,6,7,0,4,7,7,6,7,6,8,9,7,9,8,8,5,7,6,6,8,7,9,8,7,8,8,8,7,6,7,7,9,7,8,6,9,8,6,9,8,7,8,6
Нальчик,5,7,5,6,5,8,7,7,5,6,5,4,5,6,4,4,6,4,6,6,5,6,5,6,5,6,4,5,5,5,5,5,7,5,7,5,7,6,4,5,5,4,0,5,5,5,5,5,6,7,5,6,6,6,4,5,4,4,6,5,7,6,5,6,6,6,5,5,4,5,7,5,6,4,7,6,4,7,6,5,6,4
Нарьян-Мар,7,8,3,7,6,7,8,9,6,6,6,5,6,5,5,7,7,8,8,7,6,8,6,9,7,7,7,6,7,6,5,6,8,7,8,7,7,6,5,5,5,8,6,0,7,5,6,7,7,7,6,5,7,6,7,7,4,5,7,7,7,7,5,6,8,6,6,6,5,6,8,7,7,5,8,8,6,8,10,6,7,5
Нижний Новгород,6,8,6,6,7,5,7,7,5,6,6,5,3,5,6,5,9,8,6,4,4,6,6,7,5,6,4,5,4,5,5,5,7,5,7,6,7,6,5,4,7,8,5,5,0,5,5,5,6,5,4,6,6,7,6,5,5,5,6,5,6,5,5,7,6,5,7,5,5,6,7,6,6,5,7,5,6,7,9,6,6,5
Новосибирск,5,7,6,7,4,5,5,6,5,7,6,4,5,4,5,5,6,7,6,4,5,7,5,7,5,5,5,3,5,5,4,4,4,5,5,6,6,5,4,4,5,7,5,6,5,0,3,5,6,5,4,5,5,6,5,5,4,4,5,6,6,5,4,6,6,5,3,4,4,5,6,4,5,4,7,4,6,5,8,5,5,5
Омск,6,7,6,6,5,5,6,6,4,6,7,4,4,4,4,5,6,7,8,4,4,7,5,6,4,5,4,5,4,4,4,4,3,5,7,5,8,5,4,4,7,7,5,5,5,3,0,5,6,5,5,8,7,6,5,5,4,4,5,5,6,5,4,6,6,4,5,4,3,5,6,4,5,5,6,4,6,5,8,6,6,4
Орел,5,8,6,6,6,3,9,8,5,8,6,5,5,5,5,6,7,8,8,7,5,7,6,7,5,6,5,6,6,6,6,6,8,3,7,7,7,7,5,4,7,8,6,7,6,5,6,0,6,6,6,6,7,8,7,6,5,6,6,6,6,6,5,7,7,5,6,3,6,6,7,5,7,5,7,7,6,8,9,6,7,5
Оренбург,5,7,7,7,4,6,7,7,5,8,5,4,6,6,5,5,6,8,6,6,5,8,5,6,5,6,4,4,6,5,4,5,6,6,7,6,6,5,4,4,7,8,5,5,6,4,6,6,0,3,6,6,6,8,6,4,5,4,3,5,4,5,4,7,6,5,5,5,7,5,4,4,6,4,6,5,5,6,8,5,6,5
Пенза,6,7,6,6,5,5,7,7,5,6,6,5,5,5,5,6,6,7,7,5,5,6,6,6,5,6,4,6,5,5,5,5,5,5,7,6,7,6,5,4,6,8,6,6,5,6,5,5,3,0,6,5,7,6,5,3,5,5,3,3,4,5,5,7,6,5,5,5,6,6,4,4,6,6,6,5,7,8,8,6,7,5
Пермь,6,7,7,6,5,6,7,7,6,7,6,5,4,6,6,5,6,7,6,3,5,5,5,7,5,6,5,5,3,5,5,5,6,6,7,6,6,6,5,4,7,7,5,5,5,4,4,6,6,6,0,6,6,7,6,6,6,4,5,6,5,6,4,7,6,5,5,6,4,5,6,4,6,5,8,4,6,7,9,5,6,5
Петрозаводск,6,8,5,5,6,6,8,8,6,5,6,5,6,5,5,6,7,8,8,6,6,5,6,7,5,5,5,6,6,5,5,6,7,6,8,6,7,6,5,4,4,8,7,7,6,5,6,6,5,6,5,0,5,5,5,6,4,5,5,6,6,6,5,6,6,4,6,5,5,6,6,6,7,5,7,5,7,7,7,6,7,5
Петропавловск-Камчатский,8,8,7,6,9,6,6,8,6,7,4,6,6,5,5,6,10,9,10,9,5,7,7,7,5,7,5,8,6,6,6,6,9,6,8,6,9,7,6,4,6,8,7,6,6,6,8,6,6,6,6,6,0,7,6,6,6,6,6,6,7,6,5,6,6,5,8,5,8,8,7,6,4,6,7,9,8,8,9,6,9,6
Псков,8,9,5,6,6,7,8,7,7,5,6,7,7,6,7,7,7,8,9,6,7,6,7,8,6,5,7,6,8,8,5,6,8,7,9,7,7,6,7,6,5,8,7,6,7,6,6,7,6,8,6,5,6,0,5,7,4,7,5,7,6,9,8,6,7,6,6,6,6,6,6,6,7,5,8,6,7,9,8,7,6,6
Ростов-на-Дону,5,7,5,7,5,5,7,7,5,6,5,5,5,5,5,3,7,6,7,6,5,7,5,8,7,6,5,5,5,6,4,6,6,5,7,4,7,5,5,4,5,6,4,5,5,6,5,5,6,5,5,6,6,6,0,6,5,4,5,5,6,6,5,6,5,6,5,6,4,5,6,5,6,4,8,6,5,7,5,5,6,5
Рязань,5,8,5,5,5,5,7,7,5,7,6,4,5,4,4,5,6,7,7,5,4,6,5,5,4,5,4,5,5,5,4,5,7,5,7,5,6,5,4,4,6,7,5,5,5,4,5,5,4,3,6,7,6,7,5,0,5,4,4,4,5,6,4,6,5,5,5,4,4,5,5,5,6,4,6,6,6,7,8,5,6,4
Санкт-Петербург,7,7,3,5,5,6,5,6,5,4,5,5,5,4,5,5,6,7,6,4,5,5,4,6,4,3,5,4,6,5,4,4,6,5,7,5,5,5,5,4,3,7,5,5,5,4,4,5,4,6,5,4,5,4,4,5,0,4,4,5,4,5,6,4,5,4,4,4,4,4,5,4,4,4,5,4,5,5,6,5,5,5
Салехард,8,7,6,5,8,5,7,7,5,6,5,4,5,4,5,4,9,7,5,6,4,7,5,9,7,5,4,8,6,4,4,6,8,5,9,5,6,6,4,4,6,7,5,5,5,7,6,5,5,5,6,5,6,6,5,5,5,0,5,5,5,5,4,6,6,4,8,5,4,5,6,7,6,6,8,7,5,7,8,5,6,5
Самара,5,7,4,6,5,6,7,7,5,5,5,4,6,4,5,6,7,7,7,4,5,7,7,6,4,6,4,5,6,7,4,6,4,6,7,6,6,5,4,4,5,8,5,5,5,5,5,6,3,3,5,6,6,5,5,4,4,4,0,4,3,6,4,6,6,6,5,5,6,5,3,3,6,6,6,4,6,7,6,5,6,5
Саранск,6,9,7,7,6,7,8,9,5,7,7,6,6,6,5,7,7,8,7,6,4,7,7,6,5,7,5,6,6,6,6,6,6,6,8,7,7,7,6,4,6,8,6,7,4,6,7,6,4,3,6,7,7,7,6,4,5,6,4,0,4,6,6,7,7,6,6,6,6,7,5,5,7,7,5,6,7,8,8,7,7,4
Саратов,6,8,6,4,6,6,8,8,6,7,7,5,5,4,5,5,7,7,8,4,5,7,6,7,5,6,5,6,6,5,5,6,6,6,8,6,7,6,5,4,7,8,5,6,6,5,6,6,4,4,5,6,7,7,6,4,5,5,3,4,0,6,5,7,4,5,6,5,5,6,4,3,7,5,7,4,6,8,8,6,7,5
Смоленск,6,8,6,6,6,6,8,8,4,7,6,5,5,6,5,5,7,8,8,6,5,7,6,7,5,4,5,6,6,5,6,6,8,6,8,6,6,7,5,4,7,9,6,7,5,6,6,6,6,6,6,6,7,7,6,6,5,6,6,6,6,0,5,7,7,5,6,6,6,6,7,6,7,5,7,6,8,8,9,6,7,5
Ставрополь,5,7,6,5,5,5,7,7,5,7,5,5,4,7,4,6,6,6,6,6,4,6,5,6,5,5,4,5,5,5,5,5,6,5,7,6,6,7,4,4,6,6,4,5,5,5,5,5,5,6,5,5,6,7,4,5,5,4,5,5,5,5,0,6,6,4,5,4,4,5,6,5,6,4,6,6,5,7,7,5,6,4
Сыктывкар,5,8,5,5,6,5,7,6,5,6,5,6,5,5,4,5,7,7,7,5,6,6,5,6,5,6,5,5,6,6,4,5,6,5,7,6,6,5,5,4,6,8,6,6,5,5,5,5,6,6,5,6,6,6,5,5,4,5,5,6,6,5,5,0,5,4,5,5,5,6,6,5,6,6,6,6,6,7,8,6,6,4
Тамбов,6,8,7,5,6,6,8,8,6,6,6,5,6,4,5,5,7,7,8,7,5,7,6,6,5,6,5,6,6,5,5,6,8,7,8,6,7,6,7,4,7,8,5,6,6,6,6,6,6,6,6,6,7,6,6,5,5,5,5,5,4,6,5,7,0,5,6,5,5,6,6,6,7,5,6,7,6,8,9,6,7,5
Тверь,5,7,6,5,5,5,7,7,5,5,5,4,5,4,5,4,6,7,7,5,4,6,5,6,4,5,4,5,5,4,4,5,7,5,7,5,6,5,4,3,5,8,5,5,5,5,5,5,5,5,5,4,6,5,5,5,4,4,5,5,5,5,4,6,6,0,5,5,4,5,6,5,6,4,6,6,6,7,8,5,6,4
Томск,6,7,6,5,4,5,6,6,5,6,6,4,5,4,4,5,6,7,7,5,4,6,5,6,4,5,4,4,5,5,4,4,6,5,6,5,7,5,4,4,6,7,5,5,5,3,4,5,5,5,5,5,6,6,5,5,5,4,5,5,5,5,4,6,6,4,0,5,4,5,6,5,5,4,6,6,6,6,8,6,6,4
Тула,5,7,6,5,5,3,7,7,5,6,5,4,5,4,5,5,6,7,7,6,4,6,5,6,4,5,4,5,5,5,5,5,7,3,7,6,6,6,4,4,6,7,5,6,5,5,5,3,5,5,5,5,6,6,6,5,5,5,5,5,5,5,4,6,6,4,5,0,5,5,6,5,6,4,6,6,6,7,8,5,6,4
Тюмень,7,8,7,8,6,6,7,9,5,7,7,6,4,6,5,6,8,8,8,3,6,5,5,7,5,6,5,6,4,6,5,5,5,5,7,7,8,6,5,4,7,9,7,6,5,4,4,5,6,6,3,7,7,7,6,5,5,3,5,6,5,5,6,6,6,5,5,5,0,6,6,4,7,5,6,4,7,6,9,7,8,5
Улан-Удэ,6,9,7,6,7,6,5,7,6,7,6,5,6,5,5,6,8,8,7,6,5,7,3,7,6,6,5,6,6,5,5,4,7,6,6,6,10,6,5,4,7,8,6,6,6,5,5,6,6,6,7,6,8,7,6,6,6,5,6,6,6,6,5,7,7,5,6,6,6,0,7,6,5,5,8,7,7,3,9,6,8,5
Ульяновск,6,8,7,7,6,6,8,8,6,7,6,5,6,5,5,5,7,8,7,5,5,6,6,4,3,6,5,6,6,5,6,6,5,6,8,6,6,7,5,5,7,9,6,7,6,6,6,6,4,4,6,6,7,7,5,4,5,6,3,5,4,6,5,6,7,5,6,6,6,6,0,4,7,6,5,5,7,8,8,6,7,5
Уфа,5,7,6,6,5,6,7,7,5,6,5,5,5,4,5,6,6,7,6,4,5,7,5,7,5,6,4,5,6,5,5,5,4,6,7,6,6,6,5,4,6,8,6,6,6,5,4,5,4,4,5,5,6,6,5,4,4,5,3,5,3,6,5,7,6,5,5,6,5,5,4,0,6,6,6,4,6,7,8,5,6,5
Хабаровск,7,8,6,6,7,6,3,5,6,7,4,5,6,5,5,5,8,9,9,5,5,8,4,8,6,6,5,7,6,5,6,5,8,6,7,6,6,7,5,4,6,9,7,8,6,5,6,6,6,6,6,8,5,7,6,6,5,8,6,6,6,6,5,6,7,5,6,5,7,6,7,6,0,7,7,6,7,5,9,3,6,6
Ханты-Мансийск,8,8,6,5,7,5,7,7,5,6,5,4,5,4,5,5,9,7,7,4,4,7,6,9,7,5,5,8,6,5,4,5,6,5,8,5,6,5,4,4,6,7,5,5,5,5,4,5,5,5,5,5,6,6,5,5,5,4,5,5,5,6,4,6,6,4,6,5,3,7,6,5,7,0,8,5,6,7,7,5,6,4
Чебоксары,8,10,8,7,8,8,10,10,8,9,8,7,7,7,8,7,9,10,9,6,7,6,8,6,4,8,7,8,8,7,7,8,9,8,10,8,9,8,7,5,9,10,7,8,7,9,6,8,8,7,7,8,9,9,8,7,6,7,6,5,8,8,7,9,9,7,8,7,6,8,7,8,9,7,0,7,7,10,11,8,9,7
Челябинск,8,7,6,7,6,5,7,7,5,6,5,5,5,5,5,5,8,7,7,3,5,6,5,6,5,6,5,7,5,5,5,6,4,5,8,6,7,6,5,4,5,8,6,5,5,5,4,6,5,5,4,5,6,5,6,6,4,5,4,6,4,5,5,6,6,5,6,5,5,5,5,4,6,5,6,0,6,7,9,5,6,5
