en
S,en,Ukraine,ru,Украина,ru,Україна
T,en,Malij gvizdets',ru,Малий Гвiздець,ua,Малий Гвiздець
T,en,Malij kljuchiv,ru,Малий Ключiв,ua,Малий Ключiв
T,en,Markivka,ru,Маркiвка,ua,Маркiвка
T,en,Mateyivtsi,ru,Матеївцi,ua,Матеївцi
T,en,Mishin,ru,Мишин,ua,Мишин
T,en,Molodiliv,ru,Молодилiв,ua,Молодилiв
T,en,Molodjatin,ru,Молодятин,ua,Молодятин
T,en,Nazirna,ru,Назiрна,ua,Назiрна
T,en,Nizhnij verbizh,ru,Нижнiй Вербiж,ua,Нижнiй Вербiж
T,en,Nizhnja velesnitsja,ru,Нижня Велесниця,ua,Нижня Велесниця
T,en,Ostapkivtsi,ru,Остапкiвцi,ua,Остапкiвцi
T,en,Otinija,ru,Отинiя,ua,Отинiя
T,en,Pereriv,ru,Перерив,ua,Перерив
T,en,Pechenizhin,ru,Печенiжин,ua,Печенiжин
T,en,Pilipi,ru,Пилипи,ua,Пилипи
T,en,Pidgajchiki,ru,Пiдгайчики,ua,Пiдгайчики
T,en,P'JAdiki,ru,П'Ядики,ua,П'Ядики
T,en,Rakivchik,ru,Ракiвчик,ua,Ракiвчик
T,en,Runguri,ru,Рунгури,ua,Рунгури
T,en,Semakivtsi,ru,Семакiвцi,ua,Семакiвцi
T,en,Sidlische,ru,Сiдлище,ua,Сiдлище
T,en,Skopivka,ru,Скопiвка,ua,Скопiвка
T,en,Sloboda,ru,Слобода,ua,Слобода
T,en,Sopiv,ru,Сопiв,ua,Сопiв
T,en,Spas,ru,Спас,ua,Спас
T,en,Starij gvizdets',ru,Старий Гвiздець,ua,Старий Гвiздець
T,en,Strupkiv,ru,Струпкiв,ua,Струпкiв
T,en,Tovmachik,ru,Товмачик,ua,Товмачик
T,en,Torgovitsja,ru,Торговиця,ua,Торговиця
T,en,Trostjanka,ru,Тростянка,ua,Тростянка
T,en,Turka,ru,Турка,ua,Турка
T,en,Ugorniki,ru,Угорники,ua,Угорники
T,en,Fativtsi,ru,Фатiвцi,ua,Фатiвцi
T,en,Tsenjava,ru,Ценява,ua,Ценява
T,en,CHeremhiv,ru,Черемхiв,ua,Черемхiв
T,en,Sheparivtsi,ru,Шепарiвцi,ua,Шепарiвцi
T,en,Akreshori,ru,Акрешори,ua,Акрешори
T,en,Babin,ru,Бабин,ua,Бабин
T,en,Banja-bereziv,ru,Баня-Березiв,ua,Баня-Березiв
T,en,Brusturiv,ru,Брустурiв,ua,Брустурiв
T,en,Velikij rozhin,ru,Великий Рожин,ua,Великий Рожин
T,en,Verbovets',ru,Вербовець,ua,Вербовець
T,en,Vizhnij bereziv,ru,Вижнiй Березiв,ua,Вижнiй Березiв
T,en,Girs'ke,ru,Гiрське,ua,Гiрське
T,en,Gorod,ru,Город,ua,Город
T,en,Kobaki,ru,Кобаки,ua,Кобаки
T,en,Kosiv,ru,Косiв,ua,Косiв
T,en,Kosmach,ru,Космач,ua,Космач
T,en,Kuti,ru,Кути,ua,Кути
T,en,Ljucha,ru,Люча,ua,Люча
T,en,Ljuchki,ru,Лючки,ua,Лючки
T,en,Malij rozhin,ru,Малий Рожин,ua,Малий Рожин
T,en,Mikitintsi,ru,Микитинцi,ua,Микитинцi
T,en,Nizhnij bereziv,ru,Нижнiй Березiв,ua,Нижнiй Березiв
T,en,Pistin',ru,Пiстинь,ua,Пiстинь
T,en,Prokurava,ru,Прокурава,ua,Прокурава
T,en,Ribne,ru,Рибне,ua,Рибне
T,en,Richka,ru,Рiчка,ua,Рiчка
T,en,Rozhniv,ru,Рожнiв,ua,Рожнiв
T,en,Roztoki,ru,Розтоки,ua,Розтоки
T,en,Serednij bereziv,ru,Середнiй Березiв,ua,Середнiй Березiв
T,en,Slobidka,ru,Слобiдка,ua,Слобiдка
T,en,Smodna,ru,Смодна,ua,Смодна
T,en,Snidavka,ru,Снiдавка,ua,Снiдавка
T,en,Sokolivka,ru,Соколiвка,ua,Соколiвка
T,en,Starij kosiv,ru,Старий Косiв,ua,Старий Косiв
T,en,Stari kuti,ru,Старi Кути,ua,Старi Кути
T,en,Stopchativ,ru,Стопчатiв,ua,Стопчатiв
T,en,Tekuche,ru,Текуче,ua,Текуче
T,en,Trach,ru,Трач,ua,Трач
T,en,Tjudiv,ru,Тюдiв,ua,Тюдiв
T,en,Utoropi,ru,Уторопи,ua,Уторопи
T,en,Himchin,ru,Химчин,ua,Химчин
T,en,CHerganivka,ru,Черганiвка,ua,Черганiвка
T,en,Shepit,ru,Шепiт,ua,Шепiт
T,en,Sheshori,ru,Шешори,ua,Шешори
T,en,JAbluniv,ru,Яблунiв,ua,Яблунiв
T,en,JAvoriv,ru,Яворiв,ua,Яворiв
T,en,Bistritsja,ru,Бистриця,ua,Бистриця
T,en,Bitkiv,ru,Биткiв,ua,Биткiв
T,en,Bili oslavi,ru,Бiлi Ослави,ua,Бiлi Ослави
T,en,Verhnij majdan,ru,Верхнiй Майдан,ua,Верхнiй Майдан
T,en,Volosiv,ru,Волосiв,ua,Волосiв
T,en,Gavrilivka,ru,Гаврилiвка,ua,Гаврилiвка
T,en,Gvizd,ru,Гвiзд,ua,Гвiзд
T,en,Deljatin,ru,Делятин,ua,Делятин
T,en,Dobrotiv,ru,Добротiв,ua,Добротiв
T,en,Zarichchja,ru,Зарiччя,ua,Зарiччя
T,en,Zelena,ru,Зелена,ua,Зелена
T,en,Kaminne,ru,Камiнне,ua,Камiнне
T,en,Krasna,ru,Красна,ua,Красна
T,en,Lanchin,ru,Ланчин,ua,Ланчин
T,en,Lisna tarnovitsja,ru,Лiсна Тарновиця,ua,Лiсна Тарновиця
T,en,Loeva,ru,Лоєва,ua,Лоєва
T,en,Maksimets',ru,Максимець,ua,Максимець
T,en,Molodkiv,ru,Молодкiв,ua,Молодкiв
T,en,Nadvirna,ru,Надвiрна,ua,Надвiрна
T,en,Nazaviziv,ru,Назавизiв,ua,Назавизiв
T,en,Parische,ru,Парище,ua,Парище
T,en,Pasichna,ru,Пасiчна,ua,Пасiчна
T,en,Pererisl',ru,Перерiсль,ua,Перерiсль
T,en,Pniv,ru,Пнiв,ua,Пнiв
T,en,Sadzhavka,ru,Саджавка,ua,Саджавка
T,en,Serednij majdan,ru,Середнiй Майдан,ua,Середнiй Майдан
T,en,Strimba,ru,Стримба,ua,Стримба
T,en,Tismenichani,ru,Тисменичани,ua,Тисменичани
T,en,Fit'kiv,ru,Фiтькiв,ua,Фiтькiв
T,en,Tsutsiliv,ru,Цуцилiв,ua,Цуцилiв
T,en,CHernik,ru,Черник,ua,Черник
T,en,CHornij potik,ru,Чорний Потiк,ua,Чорний Потiк
T,en,CHorni oslavi,ru,Чорнi Ослави,ua,Чорнi Ослави
T,en,Babuhiv,ru,Бабухiв,ua,Бабухiв
T,en,Bukachivtsi,ru,Букачiвцi,ua,Букачiвцi
T,en,Vasjuchin,ru,Васючин,ua,Васючин
T,en,Verbilivtsi,ru,Вербилiвцi,ua,Вербилiвцi
T,en,Verhnja lipitsja,ru,Верхня Липиця,ua,Верхня Липиця
T,en,Vispa,ru,Виспа,ua,Виспа
T,en,Vishniv,ru,Вишнiв,ua,Вишнiв
T,en,Voroniv,ru,Воронiв,ua,Воронiв
T,en,Voskresintsi,ru,Воскресинцi,ua,Воскресинцi
T,en,Grigoriv,ru,Григорiв,ua,Григорiв
T,en,Degova,ru,Дегова,ua,Дегова
T,en,Dichki,ru,Дички,ua,Дички
T,en,Dibrova,ru,Дiброва,ua,Дiброва
T,en,Dobriniv,ru,Добринiв,ua,Добринiв
T,en,Dolinjani,ru,Долиняни,ua,Долиняни
T,en,Zhovchiv,ru,Жовчiв,ua,Жовчiв
T,en,Zhuriv,ru,Журiв,ua,Журiв
T,en,Zagir'JA,ru,Загiр'Я,ua,Загiр'Я
T,en,Zaluzhzhja,ru,Залужжя,ua,Залужжя
T,en,Klischivna,ru,Клiщiвна,ua,Клiщiвна
T,en,Knjaginichi,ru,Княгиничi,ua,Княгиничi
T,en,Kozari,ru,Козарi,ua,Козарi
T,en,Kolokolin,ru,Колоколин,ua,Колоколин
T,en,Konjushki,ru,Конюшки,ua,Конюшки
T,en,Lopushnja,ru,Лопушня,ua,Лопушня
T,en,Lukovets'-vishnivs'kij,ru,Луковець-Вишнiвський,ua,Луковець-Вишнiвський
T,en,Luchintsi,ru,Лучинцi,ua,Лучинцi
T,en,Malij zalaniv,ru,Малий Заланiв,ua,Малий Заланiв
T,en,Nizhnja lipitsja,ru,Нижня Липиця,ua,Нижня Липиця
T,en,Obel'nitsja,ru,Обельниця,ua,Обельниця
T,en,Pidgoroddja,ru,Пiдгороддя,ua,Пiдгороддя
T,en,Pidkamin',ru,Пiдкамiнь,ua,Пiдкамiнь
T,en,Pidmihajlivtsi,ru,Пiдмихайлiвцi,ua,Пiдмихайлiвцi
T,en,Pomonjata,ru,Помонята,ua,Помонята
T,en,Potik,ru,Потiк,ua,Потiк
T,en,Priozerne,ru,Приозерне,ua,Приозерне
T,en,Pukiv,ru,Пукiв,ua,Пукiв
T,en,Putjatintsi,ru,Путятинцi,ua,Путятинцi
T,en,Rogatin,ru,Рогатин,ua,Рогатин
T,en,Ruda,ru,Руда,ua,Руда
T,en,Sarniki,ru,Сарники,ua,Сарники
T,en,Svitanok,ru,Свiтанок,ua,Свiтанок
T,en,Stratin,ru,Стратин,ua,Стратин
T,en,Fraga,ru,Фрага,ua,Фрага
T,en,CHagriv,ru,Чагрiв,ua,Чагрiв
T,en,CHerniv,ru,Чернiв,ua,Чернiв
T,en,CHerche,ru,Черче,ua,Черче
T,en,CHesniki,ru,Чесники,ua,Чесники
T,en,Junashkiv,ru,Юнашкiв,ua,Юнашкiв
T,en,JAvche,ru,Явче,ua,Явче
T,en,Berlogi,ru,Берлоги,ua,Берлоги
T,en,Broshniv,ru,Брошнiв,ua,Брошнiв
T,en,Broshniv-osada,ru,Брошнiв-Осада,ua,Брошнiв-Осада
T,en,Verbivka,ru,Вербiвка,ua,Вербiвка
T,en,Verhnij strutin',ru,Верхнiй Струтинь,ua,Верхнiй Струтинь
T,en,Vil'hivka,ru,Вiльхiвка,ua,Вiльхiвка
T,en,Grabiv,ru,Грабiв,ua,Грабiв
T,en,Duba,ru,Дуба,ua,Дуба
T,en,Zakernichne,ru,Закерничне,ua,Закерничне
T,en,Ivanivka,ru,Iванiвка,ua,Iванiвка
T,en,Ilemnja,ru,Iлемня,ua,Iлемня
T,en,Kamin',ru,Камiнь,ua,Камiнь
T,en,Knjazivs'ke,ru,Князiвське,ua,Князiвське
T,en,Krasne,ru,Красне,ua,Красне
T,en,Krehovichi,ru,Креховичi,ua,Креховичi
T,en,Lipovitsja,ru,Липовиця,ua,Липовиця
T,en,Lop'JAnka,ru,Лоп'Янка,ua,Лоп'Янка
T,en,Lugi,ru,Луги,ua,Луги
T,en,Nebiliv,ru,Небилiв,ua,Небилiв
T,en,Nizhnij strutin',ru,Нижнiй Струтинь,ua,Нижнiй Струтинь
T,en,Osmoloda,ru,Осмолода,ua,Осмолода
T,en,Peregins'ke,ru,Перегiнське,ua,Перегiнське
T,en,Petranka,ru,Петранка,ua,Петранка
